X,0,S,0,125.726
M,1,B,1,118.551
M,2,S,2,137.763
M,3,B,3,118.988
M,4,S,4,118.08
M,5,B,5,123.604
X,5,B,5,104.818
M,6,S,6,111.242
X,6,S,6,107.454
X,6,S,6,114.234
X,6,S,6,115.922
X,6,S,6,131.171
X,6,S,6,111.262
A,7,S,0,121.163
M,7,S,0,117.146
X,7,B,7,118.06
X,7,S,0,117.146
A,8,S,66,128.628
M,9,B,9,122.5
M,8,S,59,128.628
X,8,S,59,128.628
A,10,S,16,123.605
X,8,S,59,128.628
M,7,S,0,117.256
M,8,S,9,128.628
X,8,S,9,128.628
A,11,B,56,108.644
A,12,B,36,118.135
X,8,S,9,128.628
A,13,S,16,139.66
X,13,S,16,139.66
X,13,S,16,139.66
X,11,B,56,108.644
M,13,S,16,108.052
M,13,S,16,101.96
X,11,B,56,108.644
A,14,S,94,137.951
X,8,S,9,128.628
M,13,S,16,100.575
X,13,S,16,100.575
M,8,S,91,128.628
A,15,S,22,139.168
A,16,B,98,102.075
A,17,S,96,121.648
X,15,S,22,139.168
X,15,S,22,139.168
M,17,S,96,112.603
A,18,S,22,120.682
X,18,S,22,120.682
M,11,B,56,133.392
X,16,B,98,102.075
M,11,B,56,129.926
M,8,S,1,128.628
X,18,S,22,120.682
A,19,S,24,137.139
X,10,S,16,123.605
X,13,S,16,100.575
A,20,S,82,122.797
X,13,S,16,100.575
X,13,S,16,100.575
X,11,B,56,129.926
A,21,S,26,132.676
M,16,B,88,102.075
A,22,B,68,100.202
M,11,B,56,125.372
X,17,S,96,112.603
A,23,S,20,125.217
X,13,S,16,100.575
A,24,S,46,131.924
M,10,S,75,123.605
M,24,S,46,109.612
A,25,S,96,133.938
A,26,B,46,116.502
A,27,S,68,131.983
X,14,S,94,137.951
X,25,S,96,133.938
M,16,B,62,102.075
M,8,S,31,128.628
X,15,S,22,139.168
A,28,S,20,138.691
X,18,S,22,120.682
M,13,S,16,114.286
A,29,S,54,126.491
M,24,S,46,111.18
A,30,S,68,135.666
X,11,B,56,125.372
M,20,S,82,100.015
M,11,B,56,138.328
A,31,S,60,123.178
M,18,S,61,120.682
X,18,S,61,120.682
M,30,S,9,135.666
A,32,S,62,137.372
X,20,S,82,100.015
X,25,S,96,133.938
X,26,B,46,116.502
X,8,S,31,128.628
A,33,S,72,129.622
M,12,B,6,118.135
X,24,S,46,111.18
M,33,S,89,129.622
X,19,S,24,137.139
M,26,B,34,116.502
X,16,B,62,102.075
M,31,S,60,108.552
A,34,B,72,105.76
A,35,S,48,130.91
X,13,S,16,114.286
A,36,S,84,128.15
X,27,S,68,131.983
A,37,S,36,129.554
M,26,B,64,116.502
A,38,S,86,129.949
X,19,S,24,137.139
X,20,S,82,100.015
A,39,S,82,139.668
M,37,S,83,129.554
M,20,S,82,116.864
A,40,S,22,122.682
A,41,B,16,110.587
X,37,S,83,129.554
A,42,S,6,127.661
M,13,S,16,104.932
A,43,S,90,126.655
M,16,B,66,102.075
A,44,S,36,126.234
X,35,S,48,130.91
X,23,S,20,125.217
X,20,S,82,116.864
X,18,S,61,120.682
A,45,B,22,118.118
A,46,S,38,122.691
X,17,S,96,112.603
X,16,B,66,102.075
A,47,S,90,138.234
M,20,S,82,115.741
A,48,B,58,119.143
A,49,S,32,128.377
A,50,S,74,123.532
X,12,B,6,118.135
X,35,S,48,130.91
A,51,S,92,130.895
X,36,S,84,128.15
A,52,S,94,137.826
X,12,B,6,118.135
X,48,B,58,119.143
A,53,S,22,123.213
A,54,S,42,128.234
M,52,S,59,137.826
X,20,S,82,115.741
A,55,S,88,139.913
X,43,S,90,126.655
A,56,S,30,120.553
A,57,S,32,125.873
M,10,S,1,123.605
A,58,S,54,126.959
M,25,S,43,133.938
X,54,S,42,128.234
M,39,S,91,139.668
X,52,S,59,137.826
M,13,S,16,115.69
M,23,S,77,125.217
A,59,S,80,127.943
X,47,S,90,138.234
M,30,S,69,135.666
X,29,S,54,126.491
X,54,S,42,128.234
M,37,S,57,129.554
X,19,S,24,137.139
X,51,S,92,130.895
M,56,S,30,102.371
A,60,B,88,101.972
X,55,S,88,139.913
A,61,B,86,115.679
M,28,S,20,110.748
X,61,B,86,115.679
X,20,S,82,115.741
M,61,B,90,115.679
X,12,B,6,118.135
A,62,B,62,112.62
A,63,S,98,129.995
X,15,S,22,139.168
M,16,B,82,102.075
X,28,S,20,110.748
X,37,S,57,129.554
M,41,B,16,122.211
M,42,S,6,113.278
X,50,S,74,123.532
M,26,B,24,116.502
A,64,S,32,123.608
M,19,S,33,137.139
X,15,S,22,139.168
X,27,S,68,131.983
M,39,S,75,139.668
M,55,S,33,139.913
M,57,S,95,125.873
X,7,S,0,117.256
X,61,B,90,115.679
A,65,B,64,101.871
M,46,S,38,113.675
A,66,B,34,110.872
M,41,B,16,137.476
M,10,S,87,123.605
A,67,S,56,121.082
M,67,S,56,108.475
X,13,S,16,115.69
A,68,S,42,139.956
A,69,B,52,119.176
A,70,S,74,129.733
X,52,S,59,137.826
M,50,S,74,111.215
X,47,S,90,138.234
A,71,S,70,128.788
A,72,S,40,123.28
M,28,S,20,108.083
X,70,S,74,129.733
A,73,B,10,108.556
M,61,B,22,115.679
X,65,B,64,101.871
X,16,B,82,102.075
A,74,S,56,129.217
M,47,S,69,138.234
A,75,S,68,132.551
X,56,S,30,102.371
A,76,B,26,114.66
X,39,S,75,139.668
A,77,S,64,131.61
X,32,S,62,137.372
X,49,S,32,128.377
M,27,S,49,131.983
A,78,S,24,139.026
X,8,S,31,128.628
X,25,S,43,133.938
M,22,B,68,135.709
A,79,B,58,110.858
A,80,S,86,128.783
X,54,S,42,128.234
A,81,S,60,131.258
M,13,S,16,112.466
A,82,S,70,126.746
A,83,S,28,138.661
M,41,B,16,135.729
M,11,B,56,139.535
M,69,B,2,119.176
X,16,B,82,102.075
X,32,S,62,137.372
M,69,B,22,119.176
X,23,S,77,125.217
M,52,S,21,137.826
X,81,S,60,131.258
A,84,S,30,130.664
A,85,S,78,132.896
X,54,S,42,128.234
X,30,S,69,135.666
M,39,S,85,139.668
M,48,B,80,119.143
A,86,S,42,126.299
X,14,S,94,137.951
X,68,S,42,139.956
M,20,S,82,106.437
M,61,B,22,115.679
M,28,S,20,106.344
A,87,B,54,101.238
M,49,S,37,128.377
A,88,S,72,135.345
M,65,B,64,132.122
A,89,S,42,139.135
A,90,S,14,123.654
X,28,S,20,106.344
M,61,B,66,115.679
X,39,S,85,139.668
X,63,S,98,129.995
A,91,S,46,134.015
A,92,S,2,123.935
A,93,S,28,139.996
A,94,S,18,132.132
M,35,S,48,115.208
X,8,S,31,128.628
M,66,B,50,110.872
M,54,S,65,128.234
X,30,S,69,135.666
A,95,B,64,107.42
M,11,B,56,135.656
X,35,S,48,115.208
X,78,S,24,139.026
M,61,B,10,115.679
M,88,S,21,135.345
A,96,B,88,108.233
X,65,B,64,132.122
M,16,B,84,102.075
M,96,B,98,108.233
M,67,S,56,113.888
M,35,S,48,105.129
M,30,S,81,135.666
M,60,B,88,138.863
X,94,S,18,132.132
A,97,S,24,132.885
A,98,S,28,126.786
A,99,S,30,135.815
X,54,S,65,128.234
A,100,S,36,138.029
X,34,B,72,105.76
X,75,S,68,132.551
A,101,S,8,126.028
M,55,S,35,139.913
X,37,S,57,129.554
X,101,S,8,126.028
X,54,S,65,128.234
A,102,S,72,132.282
X,23,S,77,125.217
X,13,S,16,112.466
M,96,B,2,108.233
X,58,S,54,126.959
M,94,S,85,132.132
X,15,S,22,139.168
M,76,B,56,114.66
X,102,S,72,132.282
M,58,S,53,126.959
A,103,S,96,131.825
X,95,B,64,107.42
M,41,B,16,130.722
M,102,S,73,132.282
A,104,B,38,112.233
M,53,S,22,118.24
X,59,S,80,127.943
X,89,S,42,139.135
X,8,S,31,128.628
X,98,S,28,126.786
A,105,S,64,122.694
M,105,S,64,118.502
X,70,S,74,129.733
X,52,S,21,137.826
X,13,S,16,112.466
M,52,S,91,137.826
M,35,S,48,115.29
A,106,B,60,105.849
M,11,B,56,122.556
X,13,S,16,112.466
A,107,S,46,136.938
A,108,S,74,135.488
X,54,S,65,128.234
X,50,S,74,111.215
X,26,B,24,116.502
M,60,B,88,135.68
X,35,S,48,115.29
A,109,S,8,129.282
M,60,B,88,132.138
